heartrate,activityid,time
76,107,2020-08-25 16:23:14.590000000
76,107,2020-08-25 16:23:15.590000000
76,107,2020-08-25 16:23:16.590000000
76,107,2020-08-25 16:23:17.590000000
76,107,2020-08-25 16:23:18.590000000
76,107,2020-08-25 16:23:19.590000000
76,107,2020-08-25 16:23:20.590000000
77,107,2020-08-25 16:23:21.590000000
77,107,2020-08-25 16:23:22.590000000
78,107,2020-08-25 16:23:23.590000000
78,107,2020-08-25 16:23:24.590000000
78,107,2020-08-25 16:23:25.590000000
78,107,2020-08-25 16:23:26.590000000
78,107,2020-08-25 16:23:27.590000000
79,107,2020-08-25 16:23:28.590000000
79,107,2020-08-25 16:23:29.590000000
79,107,2020-08-25 16:23:30.590000000
79,107,2020-08-25 16:23:31.590000000
79,107,2020-08-25 16:23:32.590000000
79,107,2020-08-25 16:23:33.590000000
79,107,2020-08-25 16:23:34.590000000
79,107,2020-08-25 16:23:35.590000000
79,107,2020-08-25 16:23:36.590000000
79,107,2020-08-25 16:23:37.590000000
85,107,2020-08-25 16:23:38.590000000
85,107,2020-08-25 16:23:39.590000000
86,107,2020-08-25 16:23:40.590000000
86,107,2020-08-25 16:23:41.590000000
86,107,2020-08-25 16:23:42.590000000
87,107,2020-08-25 16:23:43.590000000
87,107,2020-08-25 16:23:44.590000000
86,107,2020-08-25 16:23:45.590000000
86,107,2020-08-25 16:23:46.590000000
86,107,2020-08-25 16:23:47.590000000
86,107,2020-08-25 16:23:48.590000000
86,107,2020-08-25 16:23:49.590000000
86,107,2020-08-25 16:23:50.590000000
85,107,2020-08-25 16:23:51.590000000
85,107,2020-08-25 16:23:52.590000000
85,107,2020-08-25 16:23:53.590000000
85,107,2020-08-25 16:23:54.590000000
85,107,2020-08-25 16:23:55.590000000
85,107,2020-08-25 16:23:56.590000000
85,107,2020-08-25 16:23:57.590000000
85,107,2020-08-25 16:23:58.590000000
85,107,2020-08-25 16:23:59.590000000
86,107,2020-08-25 16:24:00.590000000
86,107,2020-08-25 16:24:01.590000000
86,107,2020-08-25 16:24:02.590000000
86,107,2020-08-25 16:24:03.590000000
86,107,2020-08-25 16:24:04.590000000
86,107,2020-08-25 16:24:05.590000000
86,107,2020-08-25 16:24:06.590000000
87,107,2020-08-25 16:24:07.590000000
87,107,2020-08-25 16:24:08.590000000
88,107,2020-08-25 16:24:09.590000000
88,107,2020-08-25 16:24:10.590000000
88,107,2020-08-25 16:24:11.590000000
88,107,2020-08-25 16:24:12.590000000
88,107,2020-08-25 16:24:13.590000000
88,107,2020-08-25 16:24:14.590000000
89,107,2020-08-25 16:24:15.590000000
89,107,2020-08-25 16:24:16.590000000
89,107,2020-08-25 16:24:17.590000000
89,107,2020-08-25 16:24:18.590000000
89,107,2020-08-25 16:24:19.590000000
90,107,2020-08-25 16:24:20.590000000
89,107,2020-08-25 16:24:21.590000000
89,107,2020-08-25 16:24:22.590000000
88,107,2020-08-25 16:24:23.590000000
88,107,2020-08-25 16:24:24.590000000
88,107,2020-08-25 16:24:25.590000000
87,107,2020-08-25 16:24:26.590000000
87,107,2020-08-25 16:24:27.590000000
87,107,2020-08-25 16:24:28.590000000
87,107,2020-08-25 16:24:29.590000000
87,107,2020-08-25 16:24:30.590000000
87,107,2020-08-25 16:24:31.590000000
87,107,2020-08-25 16:24:32.590000000
87,107,2020-08-25 16:24:33.590000000
87,107,2020-08-25 16:24:34.590000000
86,107,2020-08-25 16:24:35.590000000
86,107,2020-08-25 16:24:36.590000000
86,107,2020-08-25 16:24:37.590000000
86,107,2020-08-25 16:24:38.590000000
86,107,2020-08-25 16:24:39.590000000
86,107,2020-08-25 16:24:40.590000000
86,107,2020-08-25 16:24:41.590000000
86,107,2020-08-25 16:24:42.590000000
86,107,2020-08-25 16:24:43.590000000
86,107,2020-08-25 16:24:44.590000000
86,107,2020-08-25 16:24:45.590000000
86,107,2020-08-25 16:24:46.590000000
86,107,2020-08-25 16:24:47.590000000
86,107,2020-08-25 16:24:48.590000000
87,107,2020-08-25 16:24:49.590000000
87,107,2020-08-25 16:24:50.590000000
87,107,2020-08-25 16:24:51.590000000
87,107,2020-08-25 16:24:52.590000000
