heartrate,activityid,time
68,104,2020-12-22 14:25:24.698000000
69,104,2020-12-22 14:25:25.698000000
69,104,2020-12-22 14:25:26.698000000
70,104,2020-12-22 14:25:27.698000000
70,104,2020-12-22 14:25:28.698000000
71,104,2020-12-22 14:25:29.698000000
71,104,2020-12-22 14:25:30.698000000
71,104,2020-12-22 14:25:31.698000000
71,104,2020-12-22 14:25:32.698000000
72,104,2020-12-22 14:25:33.698000000
72,104,2020-12-22 14:25:34.698000000
72,104,2020-12-22 14:25:35.698000000
72,104,2020-12-22 14:25:36.698000000
72,104,2020-12-22 14:25:37.698000000
73,104,2020-12-22 14:25:38.698000000
73,104,2020-12-22 14:25:39.698000000
73,104,2020-12-22 14:25:40.698000000
73,104,2020-12-22 14:25:41.698000000
73,104,2020-12-22 14:25:42.698000000
73,104,2020-12-22 14:25:43.698000000
73,104,2020-12-22 14:25:44.698000000
75,104,2020-12-22 14:25:45.698000000
75,104,2020-12-22 14:25:46.698000000
75,104,2020-12-22 14:25:47.698000000
72,104,2020-12-22 14:25:48.698000000
70,104,2020-12-22 14:25:49.698000000
68,104,2020-12-22 14:25:50.698000000
67,104,2020-12-22 14:25:51.698000000
66,104,2020-12-22 14:25:52.698000000
65,104,2020-12-22 14:25:53.698000000
64,104,2020-12-22 14:25:54.698000000
64,104,2020-12-22 14:25:55.698000000
64,104,2020-12-22 14:25:56.698000000
63,104,2020-12-22 14:25:57.698000000
63,104,2020-12-22 14:25:58.698000000
64,104,2020-12-22 14:25:59.698000000
64,104,2020-12-22 14:26:00.698000000
64,104,2020-12-22 14:26:01.698000000
65,104,2020-12-22 14:26:02.698000000
65,104,2020-12-22 14:26:03.698000000
65,104,2020-12-22 14:26:04.698000000
66,104,2020-12-22 14:26:05.698000000
66,104,2020-12-22 14:26:06.698000000
66,104,2020-12-22 14:26:07.698000000
66,104,2020-12-22 14:26:08.698000000
65,104,2020-12-22 14:26:09.698000000
65,104,2020-12-22 14:26:10.698000000
65,104,2020-12-22 14:26:11.698000000
65,104,2020-12-22 14:26:12.698000000
65,104,2020-12-22 14:26:13.698000000
64,104,2020-12-22 14:26:14.698000000
64,104,2020-12-22 14:26:15.698000000
64,104,2020-12-22 14:26:16.698000000
64,104,2020-12-22 14:26:17.698000000
63,104,2020-12-22 14:26:18.698000000
63,104,2020-12-22 14:26:19.698000000
63,104,2020-12-22 14:26:20.698000000
63,104,2020-12-22 14:26:21.698000000
63,104,2020-12-22 14:26:22.698000000
63,104,2020-12-22 14:26:23.698000000
86,104,2020-12-22 17:07:21.945000000
86,104,2020-12-22 17:07:22.945000000
86,104,2020-12-22 17:07:23.945000000
86,104,2020-12-22 17:07:24.945000000
86,104,2020-12-22 17:07:25.945000000
85,104,2020-12-22 17:07:26.945000000
85,104,2020-12-22 17:07:27.945000000
85,104,2020-12-22 17:07:28.945000000
85,104,2020-12-22 17:07:29.945000000
85,104,2020-12-22 17:07:30.945000000
85,104,2020-12-22 17:07:31.945000000
85,104,2020-12-22 17:07:32.945000000
84,104,2020-12-22 17:07:33.945000000
84,104,2020-12-22 17:07:34.945000000
83,104,2020-12-22 17:07:35.945000000
83,104,2020-12-22 17:07:36.945000000
83,104,2020-12-22 17:07:37.945000000
83,104,2020-12-22 17:07:38.945000000
83,104,2020-12-22 17:07:39.945000000
83,104,2020-12-22 17:07:40.945000000
83,104,2020-12-22 17:07:41.945000000
83,104,2020-12-22 17:07:42.945000000
83,104,2020-12-22 17:07:43.945000000
83,104,2020-12-22 17:07:44.945000000
83,104,2020-12-22 17:07:45.945000000
83,104,2020-12-22 17:07:46.945000000
83,104,2020-12-22 17:07:47.945000000
83,104,2020-12-22 17:07:48.945000000
83,104,2020-12-22 17:07:49.945000000
83,104,2020-12-22 17:07:50.945000000
83,104,2020-12-22 17:07:51.945000000
82,104,2020-12-22 17:07:52.945000000
82,104,2020-12-22 17:07:53.945000000
82,104,2020-12-22 17:07:54.945000000
82,104,2020-12-22 17:07:55.945000000
82,104,2020-12-22 17:07:56.945000000
81,104,2020-12-22 17:07:57.945000000
81,104,2020-12-22 17:07:58.945000000
81,104,2020-12-22 17:07:59.945000000
81,104,2020-12-22 17:08:00.945000000
81,104,2020-12-22 17:08:01.945000000
81,104,2020-12-22 17:08:02.945000000
80,104,2020-12-22 17:08:03.945000000
80,104,2020-12-22 17:08:04.945000000
79,104,2020-12-22 17:08:05.945000000
79,104,2020-12-22 17:08:06.945000000
79,104,2020-12-22 17:08:07.945000000
79,104,2020-12-22 17:08:08.945000000
79,104,2020-12-22 17:08:09.945000000
79,104,2020-12-22 17:08:10.945000000
79,104,2020-12-22 17:08:11.945000000
79,104,2020-12-22 17:08:12.945000000
79,104,2020-12-22 17:08:13.945000000
79,104,2020-12-22 17:08:14.945000000
79,104,2020-12-22 17:08:15.945000000
79,104,2020-12-22 17:08:16.945000000
78,104,2020-12-22 17:08:17.945000000
78,104,2020-12-22 17:08:18.945000000
78,104,2020-12-22 17:08:19.945000000
79,104,2020-12-22 17:08:20.945000000
82,103,2021-01-04 10:52:43.137000000
82,103,2021-01-04 10:52:44.137000000
82,103,2021-01-04 10:52:45.137000000
82,103,2021-01-04 10:52:46.137000000
82,103,2021-01-04 10:52:47.137000000
82,103,2021-01-04 10:52:48.137000000
82,103,2021-01-04 10:52:49.137000000
82,103,2021-01-04 10:52:50.137000000
82,103,2021-01-04 10:52:51.137000000
82,103,2021-01-04 10:52:52.137000000
82,103,2021-01-04 10:52:53.137000000
81,103,2021-01-04 10:52:54.137000000
81,103,2021-01-04 10:52:55.137000000
81,103,2021-01-04 10:52:56.137000000
80,103,2021-01-04 10:52:57.137000000
80,103,2021-01-04 10:52:58.137000000
80,103,2021-01-04 10:52:59.137000000
80,103,2021-01-04 10:53:00.137000000
80,103,2021-01-04 10:53:01.137000000
80,103,2021-01-04 10:53:02.137000000
80,103,2021-01-04 10:53:03.137000000
80,103,2021-01-04 10:53:04.137000000
80,103,2021-01-04 10:53:05.137000000
80,103,2021-01-04 10:53:06.137000000
80,103,2021-01-04 10:53:07.137000000
80,103,2021-01-04 10:53:08.137000000
80,103,2021-01-04 10:53:09.137000000
80,103,2021-01-04 10:53:10.137000000
81,103,2021-01-04 10:53:11.137000000
81,103,2021-01-04 10:53:12.137000000
81,103,2021-01-04 10:53:13.137000000
81,103,2021-01-04 10:53:14.137000000
81,103,2021-01-04 10:53:15.137000000
81,103,2021-01-04 10:53:16.137000000
81,103,2021-01-04 10:53:17.137000000
81,103,2021-01-04 10:53:18.137000000
81,103,2021-01-04 10:53:19.137000000
81,103,2021-01-04 10:53:20.137000000
81,103,2021-01-04 10:53:21.137000000
82,103,2021-01-04 10:53:22.137000000
82,103,2021-01-04 10:53:23.137000000
82,103,2021-01-04 10:53:24.137000000
82,103,2021-01-04 10:53:25.137000000
82,103,2021-01-04 10:53:26.137000000
82,103,2021-01-04 10:53:27.137000000
82,103,2021-01-04 10:53:28.137000000
82,103,2021-01-04 10:53:29.137000000
82,103,2021-01-04 10:53:30.137000000
82,103,2021-01-04 10:53:31.137000000
82,103,2021-01-04 10:53:32.137000000
81,103,2021-01-04 10:53:33.137000000
81,103,2021-01-04 10:53:34.137000000
81,103,2021-01-04 10:53:35.137000000
79,103,2021-01-04 10:53:36.137000000
79,103,2021-01-04 10:53:37.137000000
80,103,2021-01-04 10:53:38.137000000
80,103,2021-01-04 10:53:39.137000000
81,103,2021-01-04 10:53:40.137000000
81,103,2021-01-04 10:53:41.137000000
81,103,2021-01-04 10:53:42.137000000
80,102,2021-01-04 10:55:28.911000000
80,102,2021-01-04 10:55:29.911000000
80,102,2021-01-04 10:55:30.911000000
80,102,2021-01-04 10:55:31.911000000
80,102,2021-01-04 10:55:32.911000000
80,102,2021-01-04 10:55:33.911000000
80,102,2021-01-04 10:55:34.911000000
80,102,2021-01-04 10:55:35.911000000
80,102,2021-01-04 10:55:36.911000000
80,102,2021-01-04 10:55:37.911000000
80,102,2021-01-04 10:55:38.911000000
80,102,2021-01-04 10:55:39.911000000
81,102,2021-01-04 10:55:40.911000000
82,102,2021-01-04 10:55:41.911000000
82,102,2021-01-04 10:55:42.911000000
82,102,2021-01-04 10:55:43.911000000
82,102,2021-01-04 10:55:44.911000000
83,102,2021-01-04 10:55:45.911000000
82,102,2021-01-04 10:55:46.911000000
82,102,2021-01-04 10:55:47.911000000
82,102,2021-01-04 10:55:48.911000000
82,102,2021-01-04 10:55:49.911000000
82,102,2021-01-04 10:55:50.911000000
82,102,2021-01-04 10:55:51.911000000
82,102,2021-01-04 10:55:52.911000000
82,102,2021-01-04 10:55:53.911000000
82,102,2021-01-04 10:55:54.911000000
82,102,2021-01-04 10:55:55.911000000
82,102,2021-01-04 10:55:56.911000000
83,102,2021-01-04 10:55:57.911000000
83,102,2021-01-04 10:55:58.911000000
83,102,2021-01-04 10:55:59.911000000
83,102,2021-01-04 10:56:00.911000000
84,102,2021-01-04 10:56:01.911000000
84,102,2021-01-04 10:56:02.911000000
84,102,2021-01-04 10:56:03.911000000
85,102,2021-01-04 10:56:04.911000000
85,102,2021-01-04 10:56:05.911000000
85,102,2021-01-04 10:56:06.911000000
85,102,2021-01-04 10:56:07.911000000
86,102,2021-01-04 10:56:08.911000000
86,102,2021-01-04 10:56:09.911000000
86,102,2021-01-04 10:56:10.911000000
87,102,2021-01-04 10:56:11.911000000
87,102,2021-01-04 10:56:12.911000000
88,102,2021-01-04 10:56:13.911000000
88,102,2021-01-04 10:56:14.911000000
89,102,2021-01-04 10:56:15.911000000
89,102,2021-01-04 10:56:16.911000000
89,102,2021-01-04 10:56:17.911000000
89,102,2021-01-04 10:56:18.911000000
90,102,2021-01-04 10:56:19.911000000
91,102,2021-01-04 10:56:20.911000000
91,102,2021-01-04 10:56:21.911000000
92,102,2021-01-04 10:56:22.911000000
93,102,2021-01-04 10:56:23.911000000
93,102,2021-01-04 10:56:24.911000000
93,102,2021-01-04 10:56:25.911000000
93,102,2021-01-04 10:56:26.911000000
94,102,2021-01-04 10:56:27.911000000
94,102,2021-01-04 10:56:28.911000000
94,102,2021-01-04 10:56:29.911000000
94,102,2021-01-04 10:56:30.911000000
94,102,2021-01-04 10:56:31.911000000
94,102,2021-01-04 10:56:32.911000000
94,102,2021-01-04 10:56:33.911000000
95,102,2021-01-04 10:56:34.911000000
95,102,2021-01-04 10:56:35.911000000
96,102,2021-01-04 10:56:36.911000000
96,102,2021-01-04 10:56:37.911000000
95,102,2021-01-04 10:56:38.911000000
95,102,2021-01-04 10:56:39.911000000
95,102,2021-01-04 10:56:40.911000000
95,102,2021-01-04 10:56:41.911000000
95,102,2021-01-04 10:56:42.911000000
